P,C,system:index,City,Province,Region,i,t,Year,V_i
913011,3220387,000100000000000020af,Anqing,Anhui Sheng,Central,35,1,2014,
913011,3262334,000100000000000020aa,Bengbu,Anhui Sheng,Central,30,1,2014,
913011,3245950,000100000000000020b5,Chaohu,Anhui Sheng,Central,41,1,2014,
913011,3164669,000100000000000020b6,Chizhou,Anhui Sheng,Central,42,1,2014,
913011,3231588,000100000000000020b1,Chuzhou,Anhui Sheng,Central,37,1,2014,
913011,3246004,000100000000000020a8,Hefei,Anhui Sheng,Central,38,1,2014,
913011,3288965,000100000000000020ad,Huaibei,Anhui Sheng,Central,28,1,2014,
913011,3231910,000100000000000020ab,Huainan,Anhui Sheng,Central,33,1,2014,
913011,3262360,000100000000000020b0,Huangshan,Anhui Sheng,Central,31,1,2014,
913011,2992498,000100000000000020b3,Lu'an,Anhui Sheng,Central,36,1,2014,
913011,3243393,000100000000000020ac,Ma'anshan,Anhui Sheng,Central,40,1,2014,
913011,3260816,000100000000000021be,Name Unknown,Anhui Sheng,Central,32,1,2014,
913011,3231858,000100000000000020b2,Suzhou,Anhui Sheng,Central,39,1,2014,
913011,3077734,000100000000000020ae,Tongling,Anhui Sheng,Central,34,1,2014,
913011,3262036,000100000000000020a9,Wuhu,Anhui Sheng,Central,29,1,2014,
913011,3222248,000100000000000020b4,Xuancheng,Anhui Sheng,Central,43,1,2014,
912940,912940,000100000000000021bf,Name Unknown,Beijing Shi,Eastern,1,1,2014,1.297
913069,913069,000100000000000021c1,Name Unknown,Chongqing Shi,Western,141,1,2014,-0.0131
911844,3244431,000100000000000020df,Chaozhou,Guangdong Sheng,Eastern,115,1,2014,-0.3285
911844,3464319,000100000000000020dd,Dongguan,Guangdong Sheng,Eastern,107,1,2014,-0.3285
911844,3464719,000100000000000020d3,Foshan,Guangdong Sheng,Eastern,101,1,2014,-0.3285
911844,3287346,000100000000000020ce,Guangzhou,Guangdong Sheng,Eastern,97,1,2014,-0.3285
911844,3241970,000100000000000020da,Heyuan,Guangdong Sheng,Eastern,103,1,2014,-0.3285
911844,3209912,000100000000000020d7,Huizhou,Guangdong Sheng,Eastern,105,1,2014,-0.3285
911844,3463901,000100000000000020d4,Jiangmen,Guangdong Sheng,Eastern,109,1,2014,-0.3285
911844,3282749,000100000000000020e0,Jieyang,Guangdong Sheng,Eastern,116,1,2014,-0.3285
911844,2689018,000100000000000020d5,Maoming,Guangdong Sheng,Eastern,112,1,2014,-0.3285
911844,3233743,000100000000000020d8,Meizhou,Guangdong Sheng,Eastern,104,1,2014,-0.3285
911844,3124223,000100000000000020dc,Qingyuan,Guangdong Sheng,Eastern,114,1,2014,-0.3285
911844,3282750,000100000000000020d2,Shantou,Guangdong Sheng,Eastern,100,1,2014,-0.3285
911844,3282610,000100000000000020d9,Shanwei,Guangdong Sheng,Eastern,106,1,2014,-0.3285
911844,3203994,000100000000000020cf,Shaoguan,Guangdong Sheng,Eastern,102,1,2014,-0.3285
911844,3464353,000100000000000020d0,Shenzhen,Guangdong Sheng,Eastern,98,1,2014,-0.3285
911844,3032037,000100000000000020db,Yangjiang,Guangdong Sheng,Eastern,110,1,2014,-0.3285
911844,3032080,000100000000000020e1,Yunfu,Guangdong Sheng,Eastern,117,1,2014,-0.3285
911844,3484419,00000000000000002f0d,Zhanjiang,Guangdong Sheng,Eastern,111,1,2014,-0.3285
911844,3205802,000100000000000020d6,Zhaoqing,Guangdong Sheng,Eastern,113,1,2014,-0.3285
911844,3464878,000100000000000020de,Zhongshan,Guangdong Sheng,Eastern,108,1,2014,-0.3285
911844,3464829,000100000000000020d1,Zhuhai,Guangdong Sheng,Eastern,99,1,2014,-0.3285
912998,3442995,000100000000000020fb,Baoding,Hebei Sheng,Eastern,8,1,2014,-0.2134
912998,3443418,000100000000000020fd,Cangzhou,Hebei Sheng,Eastern,9,1,2014,-0.2134
912998,2989561,00020000000000002de0,Chengde,Hebei Sheng,Eastern,3,1,2014,-0.2134
912998,3290701,000100000000000020f9,Handan,Hebei Sheng,Eastern,13,1,2014,-0.2134
912998,3443419,000100000000000020ff,Hengshui,Hebei Sheng,Eastern,11,1,2014,-0.2134
912998,2989329,000100000000000020fe,Langfang,Hebei Sheng,Eastern,7,1,2014,-0.2134
912998,2989562,000100000000000020f8,Qinhuangdao,Hebei Sheng,Eastern,5,1,2014,-0.2134
912998,3009732,000100000000000020f6,Shijiazhuang,Hebei Sheng,Eastern,10,1,2014,-0.2134
912998,2989001,000100000000000020f7,Tangshan,Hebei Sheng,Eastern,6,1,2014,-0.2134
912998,3290707,000100000000000020fa,Xingtai,Hebei Sheng,Eastern,12,1,2014,-0.2134
912998,3295555,000100000000000020fc,Zhangjiakou,Hebei Sheng,Eastern,4,1,2014,-0.2134
913106,2984075,0001000000000000211c,Enshi Tujia and Miao,Hubei Sheng,Central,67,1,2014,
913106,3086618,00010000000000002116,Ezhou,Hubei Sheng,Central,60,1,2014,
913106,3144169,0001000000000000211a,Huanggang,Hubei Sheng,Central,64,1,2014,
913106,3086592,00010000000000002112,Huangshi,Hubei Sheng,Central,56,1,2014,
913106,3219965,00010000000000002117,Jingmen,Hubei Sheng,Central,61,1,2014,
913106,2709754,00010000000000002119,Jingzhou,Hubei Sheng,Central,63,1,2014,
913106,2984052,0001000000000000211d,Shennongjia,Hubei Sheng,Central,71,1,2014,
913106,3206796,00010000000000002113,Shiyan,Hubei Sheng,Central,57,1,2014,
913106,3076268,00010000000000002111,Wuhan,Hubei Sheng,Central,55,1,2014,
913106,3216590,00010000000000002115,Xiangfan,Hubei Sheng,Central,59,1,2014,
913106,3106518,0001000000000000211b,Xianning,Hubei Sheng,Central,65,1,2014,
913106,3216406,00010000000000002118,Xiaogan,Hubei Sheng,Central,62,1,2014,
913106,2983923,00010000000000002114,Yichang,Hubei Sheng,Central,58,1,2014,
913073,3161246,00010000000000002124,Changde,Hunan Sheng,Central,78,1,2014,
913073,3202711,0001000000000000211e,Changsha,Hunan Sheng,Central,72,1,2014,
913073,3123920,00010000000000002127,Chenzhou,Hunan Sheng,Central,81,1,2014,
913073,3156043,00010000000000002121,Hengyang,Hunan Sheng,Central,75,1,2014,
913073,2773826,00010000000000002129,Huaihua,Hunan Sheng,Central,83,1,2014,
913073,3070610,0001000000000000212a,Loudi,Hunan Sheng,Central,84,1,2014,
913073,3075378,00010000000000002122,Shaoyang,Hunan Sheng,Central,76,1,2014,
913073,3202624,00010000000000002120,Xiangtan,Hunan Sheng,Central,74,1,2014,
913073,2972168,0001000000000000212b,Xiangxi Tujia and Miao,Hunan Sheng,Central,85,1,2014,
913073,3202593,00010000000000002126,Yiyang,Hunan Sheng,Central,80,1,2014,
913073,3149752,00010000000000002128,Yongzhou,Hunan Sheng,Central,82,1,2014,
913073,3202467,00010000000000002123,Yueyang,Hunan Sheng,Central,77,1,2014,
913073,3152588,00010000000000002125,Zhangjiajie,Hunan Sheng,Central,79,1,2014,
913073,2972720,0001000000000000211f,Zhuzhou,Hunan Sheng,Central,73,1,2014,
913012,3429666,0001000000000000212f,Changzhou,Jiangsu Sheng,Eastern,18,1,2014,-0.613
913012,3429722,00010000000000002133,Huai'an,Jiangsu Sheng,Eastern,22,1,2014,-0.613
913012,3320347,00010000000000002132,Lianyungang,Jiangsu Sheng,Eastern,21,1,2014,-0.613
913012,2131524,0001000000000000212c,Nanjing,Jiangsu Sheng,Eastern,15,1,2014,-0.613
913012,4430899,00010000000000002131,Nantong,Jiangsu Sheng,Eastern,20,1,2014,-0.613
913012,3293941,00010000000000002138,Suqian,Jiangsu Sheng,Eastern,27,1,2014,-0.613
913012,4430941,00010000000000002130,Suzhou,Jiangsu Sheng,Eastern,19,1,2014,-0.613
913012,4430874,00010000000000002137,Taizhou,Jiangsu Sheng,Eastern,26,1,2014,-0.613
913012,4430942,0001000000000000212d,Wuxi,Jiangsu Sheng,Eastern,16,1,2014,-0.613
913012,3218572,0001000000000000212e,Xuzhou,Jiangsu Sheng,Eastern,17,1,2014,-0.613
913012,3473496,00010000000000002134,Yancheng,Jiangsu Sheng,Eastern,23,1,2014,-0.613
913012,4430826,00010000000000002135,Yangzhou,Jiangsu Sheng,Eastern,24,1,2014,-0.613
913012,3429680,00010000000000002136,Zhenjiang,Jiangsu Sheng,Eastern,25,1,2014,-0.613
913109,3182605,00010000000000002143,Fuzhou,Jiangxi Sheng,Central,95,1,2014,
913109,3180745,0001000000000000213f,Ganzhou,Jiangxi Sheng,Central,92,1,2014,
913109,2950516,00010000000000002142,Ji'an,Jiangxi Sheng,Central,93,1,2014,
913109,3224017,0001000000000000213a,Jingdezhen,Jiangxi Sheng,Central,87,1,2014,
913109,3190361,0001000000000000213c,Jiujiang,Jiangxi Sheng,Central,89,1,2014,
913109,3169865,00010000000000002139,Nanchang,Jiangxi Sheng,Central,86,1,2014,
913109,3189984,0001000000000000213b,Pingxiang,Jiangxi Sheng,Central,88,1,2014,
913109,3046790,00010000000000002141,Shangrao,Jiangxi Sheng,Central,96,1,2014,
913109,3182912,0001000000000000213d,Xinyu,Jiangxi Sheng,Central,90,1,2014,
913109,3182923,00010000000000002140,Yichun,Jiangxi Sheng,Central,94,1,2014,
913109,3245900,0001000000000000213e,Yingtan,Jiangxi Sheng,Central,91,1,2014,
913067,913067,000100000000000021c5,Name Unknown,Shanghai Shi,Eastern,14,1,2014,1.0254
913068,2110265,000100000000000021c6,Name Unknown,Sichuan Sheng,Western,138,1,2014,0.4006
913068,2787658,0001000000000000218d,Bazhong,Sichuan Sheng,Western,136,1,2014,0.4006
913068,2110264,0001000000000000217c,Chengdu,Sichuan Sheng,Western,120,1,2014,0.4006
913068,2787741,00010000000000002188,Dazhou,Sichuan Sheng,Western,134,1,2014,0.4006
913068,2787561,00010000000000002180,Deyang,Sichuan Sheng,Western,124,1,2014,0.4006
913068,2049312,0001000000000000218b,Garzê Tibetan,Sichuan Sheng,Western,139,1,2014,0.4006
913068,2787851,00010000000000002187,Guang'an,Sichuan Sheng,Western,133,1,2014,0.4006
913068,2787606,00010000000000002182,Guangyuan,Sichuan Sheng,Western,126,1,2014,0.4006
913068,2789892,00010000000000002184,Leshan,Sichuan Sheng,Western,129,1,2014,0.4006
913068,2785750,0001000000000000218c,Liangshan Yi,Sichuan Sheng,Western,140,1,2014,0.4006
913068,2789344,0001000000000000217f,Luzhou,Sichuan Sheng,Western,123,1,2014,0.4006
913068,2789926,0001000000000000218e,Meishan,Sichuan Sheng,Western,131,1,2014,0.4006
913068,2787464,00010000000000002181,Mianyang,Sichuan Sheng,Western,125,1,2014,0.4006
913068,2787937,00010000000000002185,Nanchong,Sichuan Sheng,Western,130,1,2014,0.4006
913068,2789481,0001000000000000218a,Ngawa Tibetan and Qiang,Sichuan Sheng,Western,128,1,2014,0.4006
913068,2785689,0001000000000000217e,Panzhihua,Sichuan Sheng,Western,122,1,2014,0.4006
913068,2788710,00010000000000002183,Suining,Sichuan Sheng,Western,127,1,2014,0.4006
913068,2789731,00010000000000002189,Ya'an,Sichuan Sheng,Western,135,1,2014,0.4006
913068,2791229,00010000000000002186,Yibin,Sichuan Sheng,Western,132,1,2014,0.4006
913068,2791218,0001000000000000217d,Zigong,Sichuan Sheng,Western,121,1,2014,0.4006
913068,2788724,0001000000000000218f,Ziyang,Sichuan Sheng,Western,137,1,2014,0.4006
912999,912999,000100000000000021c7,Name Unknown,Tianjin Shi,Eastern,2,1,2014,0.7509
553302,3221112,000100000000000021b3,Hangzhou,Zhejiang Sheng,Eastern,44,1,2014,-0.403
553302,3149738,000100000000000021b7,Huzhou,Zhejiang Sheng,Eastern,48,1,2014,-0.403
553302,3308626,000100000000000021b6,Jiaxing,Zhejiang Sheng,Eastern,47,1,2014,-0.403
553302,3411720,000100000000000021b9,Jinhua,Zhejiang Sheng,Eastern,50,1,2014,-0.403
553302,3289209,000100000000000021bd,Lishui,Zhejiang Sheng,Eastern,54,1,2014,-0.403
553302,3478607,000100000000000021b4,Ningbo,Zhejiang Sheng,Eastern,45,1,2014,-0.403
553302,3278467,000100000000000021ba,Quzhou,Zhejiang Sheng,Eastern,51,1,2014,-0.403
553302,3316522,000100000000000021b8,Shaoxing,Zhejiang Sheng,Eastern,49,1,2014,-0.403
553302,3477550,000100000000000021bc,Taizhou,Zhejiang Sheng,Eastern,53,1,2014,-0.403
553302,3289341,000100000000000021b5,Wenzhou,Zhejiang Sheng,Eastern,46,1,2014,-0.403
553302,3308121,000100000000000021bb,Zhoushan,Zhejiang Sheng,Eastern,52,1,2014,-0.403